timestamp,source_mac,destination_mac,source_ip,destination_ip,source_port,destination_port,protocol,length,ttl,tcp_flags,tcp_window,icmp_type,icmp_code,dns_query,http_method,http_host,http_path,packet_direction
2025-05-22 01:01:04,69:09:12:76:90:a7,52:32:9b:a1:5e:c1,140.201.179.254,192.168.1.33,9002,12345,TCP,66,64,FIN SYN RST PSH ACK URG,8192,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,54:c3:33:d6:0d:8f,02:af:f4:cc:13:36,188.145.59.244,192.168.1.33,21,8888,TCP,66,64,FIN SYN RST PSH ACK URG,8192,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,1292,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,1292,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,82,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,1292,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,1292,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,1292,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,1292,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,79,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,4766,443,TCP,62,128,SYN,64240,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,01:a2:56:ce:1b:3d,61:80:d2:0a:2f:52,193.193.16.193,192.168.1.33,1080,12345,TCP,66,64,FIN SYN RST PSH ACK URG,8192,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,1292,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,1292,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,813,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,81,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,1292,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,152,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,83,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,83,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,4766,TCP,62,121,SYN ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,4766,443,TCP,54,128,ACK,64240,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,125,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,113,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,76,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,1288,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,945,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,4766,443,TCP,1843,128,PSH ACK,64240,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,986,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,163,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,76,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,7c:10:c9:90:c2:41,c8:3a:35:16:d6:08,192.168.1.33,142.251.43.206,63271,443,UDP,75,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Outbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,65,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,63271,UDP,185,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,4766,TCP,66,121,ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,4766,TCP,60,121,ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,4766,TCP,1466,121,ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,4766,TCP,1466,121,ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
2025-05-22 01:01:04,c8:3a:35:16:d6:08,7c:10:c9:90:c2:41,142.251.43.206,192.168.1.33,443,4766,TCP,1466,121,PSH ACK,65535,N/A,N/A,N/A,N/A,N/A,N/A,Inbound
